[1, 3, 2]	0.0401
[3, 2, 1]	0.1775
[0, 2, 4]	0.0575
[1, 3, 2]	0.0401
[3, 2, 1]	0.1775
[5, 1, 0]	0.0491
[1, 2, 3]	0.1259
[4, 1, 1]	0.0305
[3, 2, 1]	0.1775
[3, 2, 1]	0.1775
[0, 2, 4]	0.0575
[2, 3, 1]	0.0834
[3, 2, 1]	0.1775
[4, 2, 0]	0.115
[1, 2, 3]	0.1259
[0, 3, 3]	0.1038
[1, 1, 4]	0.0854
[0, 2, 4]	0.0575
[3, 2, 1]	0.1775
[1, 2, 3]	0.1259
[3, 3, 0]	0.0133
[4, 2, 0]	0.115
[0, 1, 5]	0.0274
[0, 2, 4]	0.0575
[1, 1, 4]	0.0854
[3, 2, 1]	0.1775
[0, 3, 3]	0.1038
[3, 2, 1]	0.1775
[2, 3, 1]	0.0834
[4, 2, 0]	0.115
[1, 3, 2]	0.0401
[4, 2, 0]	0.115
[3, 2, 1]	0.1775
[0, 1, 5]	0.0274
[2, 3, 1]	0.0834
[2, 1, 3]	0.0258
[2, 0, 4]	0.0048
[1, 1, 4]	0.0854
[3, 1, 2]	0.0278
[1, 2, 3]	0.1259
[4, 2, 0]	0.115
[4, 2, 0]	0.115
[0, 2, 4]	0.0575
[4, 1, 1]	0.0305
[2, 1, 3]	0.0258
[4, 2, 0]	0.115
[4, 2, 0]	0.115
[3, 2, 1]	0.1775
[1, 3, 2]	0.0401
[3, 1, 2]	0.0278
[2, 3, 1]	0.0834
[3, 2, 1]	0.1775
[1, 1, 4]	0.0854
[3, 2, 1]	0.1775
[0, 1, 5]	0.0274
[0, 4, 2]	0.0182
[1, 1, 4]	0.0854
[2, 1, 3]	0.0258
[3, 2, 1]	0.1775
[0, 2, 4]	0.0575
[0, 4, 2]	0.0182
[2, 1, 3]	0.0258
[3, 2, 1]	0.1775
[1, 2, 3]	0.1259
[4, 2, 0]	0.115
[0, 4, 2]	0.0182
[4, 2, 0]	0.115
[1, 1, 4]	0.0854
[1, 2, 3]	0.1259
[1, 3, 2]	0.0401
[1, 2, 3]	0.1259
[0, 3, 3]	0.1038
[2, 1, 3]	0.0258
[3, 2, 1]	0.1775
[6, 0, 0]	0.0027
[5, 1, 0]	0.0491
[3, 2, 1]	0.1775
[4, 2, 0]	0.115
[5, 1, 0]	0.0491
[3, 2, 1]	0.1775
[0, 2, 4]	0.0575
[2, 1, 3]	0.0258
[0, 4, 2]	0.0182
[1, 2, 3]	0.1259
[3, 2, 1]	0.1775
[1, 2, 3]	0.1259
[3, 2, 1]	0.1775
[0, 2, 4]	0.0575
[3, 3, 0]	0.0133
[4, 1, 1]	0.0305
[4, 1, 1]	0.0305
[3, 2, 1]	0.1775
[2, 0, 4]	0.0048
[1, 2, 3]	0.1259
[5, 1, 0]	0.0491
[3, 2, 1]	0.1775
[1, 1, 4]	0.0854
[0, 3, 3]	0.1038
[0, 3, 3]	0.1038
[1, 1, 4]	0.0854
