[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[1 0 0 2]	0.2826
[1 0 1 1]	0.0697
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[0 3 0 0]	0.0389
[0 0 0 3]	0.0475
[0 3 0 0]	0.0389
[0 3 0 0]	0.0389
[1 1 0 1]	0.0529
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[1 1 0 1]	0.0529
[1 2 0 0]	0.2663
[2 0 0 1]	0.0216
[1 2 0 0]	0.2663
[3 0 0 0]	0.0014
[1 0 0 2]	0.2826
[0 3 0 0]	0.0389
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[1 0 0 2]	0.2826
[1 0 0 2]	0.2826
[2 1 0 0]	0.0339
[1 1 1 0]	0.1115
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[1 0 1 1]	0.0697
[1 0 0 2]	0.2826
[2 0 1 0]	0.0115
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 1 1 0]	0.1115
[1 0 0 2]	0.2826
[1 0 1 1]	0.0697
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[2 0 0 1]	0.0216
[0 3 0 0]	0.0389
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[0 0 0 3]	0.0475
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[1 0 2 0]	0.0201
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 1 1 0]	0.1115
[1 0 1 1]	0.0697
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[0 2 0 1]	0.0206
[2 1 0 0]	0.0339
[1 1 1 0]	0.1115
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[1 1 1 0]	0.1115
[2 0 1 0]	0.0115
[2 1 0 0]	0.0339
[1 0 0 2]	0.2826
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[0 2 0 1]	0.0206
[1 0 0 2]	0.2826
[1 1 0 1]	0.0529
[1 0 0 2]	0.2826
[0 0 0 3]	0.0475
[1 0 0 2]	0.2826
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 0 0 2]	0.2826
[0 3 0 0]	0.0389
[1 2 0 0]	0.2663
[0 1 1 1]	0.0097
[1 0 2 0]	0.0201
[1 1 0 1]	0.0529
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 2 0 0]	0.2663
[1 1 1 0]	0.1115
[0 2 0 1]	0.0206
[1 2 0 0]	0.2663
